"seller_name","seller_url","seller_url_status","platform","product_name","product_url","quantity","total_price","price_status","currency","industry","details","slug","has_images","reviewer","date","review_url","notes"
"Xiamen King Q Waterproof Sport Co., Ltd","https://waterproof-sport.en.alibaba.com/","verified","Alibaba.com","drysuit","https://waterproof-sport.en.alibaba.com/productgrouplist-807869346/Dry_Suit.html","1","252","STATED","USD","Sportswear & Outdoor Apparel","DANGEROUS DRYSUIT, RISK OF DROWNING. DO NOT BUY I bought a dangerous and defective drysuit supplied on behalf of Alibaba.com by Xiamen King Q Waterproof Sport Co., Ltd under Trade Assurance Order 184474975001023119 (September 2023). Transaction 184474975001023119, Cost USD 252.00. The drysuit was used only seven times in 2024–2025 for boarding my boat from the jetty and was never submerged in water. Three weeks ago, I used it in waist deep water for approximately five minutes while loading my boat onto its trailer. I was horrified as the suit immediately started to fill with water as it had failed at all seams, allowing water to enter both legs and rise to my waist. I poured approximately half a pint of water out of each leg.
This is latent defect as it existed at the time of manufacture, it only became apparent later and was not caused by misuse or wear. My usage pattern supports this.
The product is dangerous as a leaking drysuit can cause can be disastrous through, cold shock and loss of buoyancy leading to risk of drowning,
A drysuit that leaks at every seam after <10 uses is a clear breach of Trade Assurance standards.
This is a serious safety hazard and demonstrates that the suit is unfit for purpose and defectively manufactured. There is no visible wear, damage, or deterioration to the taped seams. This is clearly a manufacturing fault.
Alibaba & Xiamen King Q Waterproof Sport Co., Ltd have ignored my on-line messages and only responded with sarcasm instead of assistance. They have not replied to my last two emails. This behaviour is unacceptable and violates Alibaba’s seller obligations.
DO NOT BUY A DRYSUIT FROM THEM YOU COULD DROWN","xiamen-king-q-waterproof-sport-co-ltd-drysuit","True","Lyn Fawcett","4 weeks ago","","seller_url verified — store subdomain waterproof-sport.en.alibaba.com matches company name exactly in search results; product_url is the seller's Dry Suit category page (best-effort, not a confirmed individual listing for this exact order); quantity 1 inferred from singular ""a drysuit"" — not stated as a numeral but clear from context; price USD 252.00 explicitly stated in review."
"Zhangzhou Xiangcheng Keshang Trading Co Ltd","https://keshang-shoes.en.alibaba.com/","verified","Alibaba.com","shoes","","2","0","MISSING","AUD","Shoes & Accessories","BUYERS BEWARE of keshang-shoes.en.alibaba.com. Zhangzhou Xiangcheng Keshang Trading Co Ltd Fraudulent Scammers! I purchased two items in Dec 2025 which I never received it is now the end of April 2026. First tracking said my items were delivered to Spain then when I said they were delivered to the wrong country they said it was wrong tracking, correct tracking information shows they were on their way back to the seller in China. I opened a dispute with Alibaba for a refund and the process has taken forever. It is now the end of April and still no refund. Alibaba keeps restarting the dispute process on me. I have gone through their dispute process 16 times now with no resolution.
DO NOT BUY FROM ALIBABA EVER!!!
YOU WILL NOT GET YOUR PURCHASE AND YOU WILL NOT GET YOUR MONEY BACK!","zhangzhou-xiangcheng-keshang-trading-co-ltd-shoes","True","Red","2 months ago","","seller_url verified — the review itself names keshang-shoes.en.alibaba.com and the store resolves in search. product_name is generic (""shoes"") — reviewer stated only ""two items"" with no further description. product_url left blank — no specific listing identifiable. total_price MISSING — no amount mentioned. currency defaulted to AUD (no currency stated in review). quantity 2 is explicitly stated."
"Bolaze011 Store","","not-found","Alibaba.com","ZX-DU99D3X8 motherboard","","1","0","MISSING","AUD","Consumer Electronics","AliExpress Buyer protection is fully fake! Fraud and deception does not violate platform regulations! In 2026, AliExpress became a completely untrustworthy marketplace! The seller could send you even their dirty underwear instead of the product, but AliExpress will refuse your refund or just give you a few pennies back! Never ever trust - that seller or customer support will ""solve your problem, give you a full refund, or send you a good product as a replacement""
It is always a deception and lie, in form of a ""template-formal"" answer. 
Buying on AliExpress will only leave you disappointed, wasting your money, time, and nerves (or better not to buy on AliExpress anything more expensive and complicated than flip-flops)","bolaze011-store-zx-du99d3x8-motherboard","True","Andrew","4 months ago","","seller_url: not-found — web search found ""Hunan Bolaze Technology Co., Ltd."" at bolaze.en.alibaba.com but could not confirm this is the same entity as the AliExpress ""Bolaze011 Store""; the AliExpress store URL was not located. product_url: not found. price: not stated anywhere in the review (MISSING). currency: defaulted to AUD per site default; no currency hint in review. quantity: 1 is explicitly implied (""I paid for a [one] ZX-DU99D3X8 motherboard""). Note: the original review is for an AliExpress purchase, not Alibaba.com, but platform is set to ""Alibaba.com"" per task instructions."
"Cangzhou Wings Of Liberty Sport Products Co., Ltd.","https://wolsport.en.alibaba.com/","verified","Alibaba.com","sports equipment","","1","1940","STATED","USD","Sports & Entertainment","Since 9 September 2025 that I placed my order with the seller Cangzhou Wings Of Liberty Sport Products Co., Ltd., I have been given a different delivery date almost every week. We are now at 25 January 2026, and the order has still not been delivered. Despite paying the full amount of 1,940 USD upfront, I have never received the product. To future buyers: BE CAUTIOUS with sellers who promise a 10% compensation for delayed shipping or claim that Trade Assurance will protect you. These guarantees proved to be fake, both from seller side and from Alibaba side. My order was marked as “completed” even though I NEVER received the item I paid for!!!!
Once payment is made, communication becomes inconsistent. You must constantly follow up yourself, and the delivery dates provided are repeatedly inaccurate. After several months of delays, the order is automatically closed by the system WITHOUT delivery. Adding to the frustration, you will be even be asked to write a review for a product that NEVER arrived, despite having paid nearly 2,000 USD!!!!!","cangzhou-wings-of-liberty-sport-products-co-ltd-sports-equipment","True","Nek t.","5 months ago","","Product name is GENERIC — the review does not name the specific item ordered; ""sports equipment"" is inferred from the seller's product category (boxing rings, wrestling mats, gym equipment, pilates reformers). Quantity inferred as 1 (single order implied, not explicitly stated). Seller URL verified by exact company name match on Alibaba (store handle: wolsport). product_url left blank as no specific product listing was identified. has_images set to true per workflow default."
"Isabella Xavier","","not-found","Alibaba.com","DJ Controllers","","2","1600","STATED","AUD","Consumer Electronics","I will never order OFF Alibaba again. They don’t care about the customers. I ordered 2DJ controllers of two different sales reps that were on their website that I was on and both of scams. It’s cost me $1600 and I couldn’t care less. I logged onto their platforms Enquired about the products and I thought they were there sales people that took over but at the end of the day anyone can do it and take your details straight off their website and unless you actually buy through their pay system which I thought was just automatic when you’re going to their website it’s called an off-line order which means that it they won’t get your responsibility even stay well clear this woman Isabella Xavier she won’t help you. She will rip you and just keep as much money as she can of you blackmailing you not to give you a parcel. I haven’t got my parcel and I’ll pay her an extra $900 in taxes and I still haven’t got my parcel because she’s trying to blackmail me and giving her $111 so I can get tracking numbers for my parcel to get here but she won’t let it go until I do, but I refuse. told me my parcel was on its way but yesterday hit me up for freight costs saying it’s not gone yet after three days of time it was officially three jobs because of this woman three opportunities to get jobs. I’ve told her this Christmas present of my parents and she still doesn’t care. Alibaba will keep her on?","isabella-xavier-dj-controllers","True","Dean J.","7 months ago","","Seller URL: two web searches returned no matching Alibaba store page for Isabella Xavier — store may have been removed; marked not-found. Product URL: not found. Price AUD $1,600 is stated directly in the review; STATED. Review also mentions an additional AUD $900 demanded in taxes and a further $111 for tracking numbers — these are not included in total_price as they were demanded post-purchase and the reviewer refused. Quantity of 2 is explicitly stated. Currency defaulted to AUD per hint and the reviewer's apparent Australian context."
"Ningbo Marvelous Import and Export Co., Ltd.","https://nbmarvelous.en.alibaba.com/","verified","Alibaba.com","hardware tools","","5","112.24","STATED","AUD","Tools & Hardware","Be very careful when purchasing anything from Alibaba. After previously purchasing from Alibaba on 2 separate orders, and I did find it to be quite cost affective and of good quality, with reasonably fast postage. It went down hill. When I tried to make a 3rd purchase from Alibaba (* note all 3 purchases were from different sellers *), the *S* hit the fan. The company I tried to make 3rd purchase from was: Ningbo Marvelous import and export Co Ltd.
I order a bulk lot of 5 of the same item at a total cost of $112.24AU including delivery and taxes. Went through payment process Using Papal in 4 interest free payments, *very important never pay directly with visa or any direct credit card and definitely do not pay via any type of bank transfer*. I could see that the Paypal payment was taking to long to complete and verify that order has been processed.
This is when I almost fell of my seat, I received a notification that the seller has updated payment amount. That new payment amount was not $112.24AU as previously stated 
But for $770USD, $1076.62AU I could not believe what I saw, I of cause canceled order immediately. I did receive notification from Alibaba that order has been canceled.
Thankfully purchasing using Paypal will give you the knowledge that payment will not go through and if it does you can definitely get it refunded.
I don’t know if this was a scam directly by this particular seller ( also I tried sending seller a very well worded message, but apparently my messages to this seller cannot get through as I have been blocked by the seller ) or if it is a issue with Alibaba itself, either way I will definitely never buy from this particular seller again, and be very cautious if I decide to buy from Alibaba again.
I am not saying that you should avoid Alibaba, but just be very careful about your payment method and check all notifications that you receive from Alibaba.","ningbo-marvelous-import-and-export-co-ltd-hardware-tools","False","Quint I.","1 month ago","","Product not stated in review — ""hardware tools"" is inferred from the seller's Alibaba store inventory (tools, hand tools, pneumatic tools, hardware accessories). Seller URL verified: store at nbmarvelous.en.alibaba.com matches the exact company name. Quantity (5) and price ($112.24 AUD) are both explicitly stated. The attempted fraudulent charge of $770 USD / $1,076.62 AUD is documented in the review but was canceled before payment completed."
"Hainan Xinyi Industry","https://rvmonster.en.alibaba.com/","verified","Alibaba.com","truck canopy / RV accessories","","1","0","MISSING","AUD","Vehicle Parts & Accessories","Hainan Xinyi Industry.not wanting to give full refund missing $49.79 claim it was a bank charge back or bank fee. my bank said it wasn't my bank that charged the fee. so I got my credit card involved to get my full refund. The supplier wasn't honest with the time it would take to get the product to me and she declined my first initial attempt to get the refund. which is now causing a delay on the refund, they are insisting I cancel the bank and let them give the refund, if I agree I will miss out on $49.79. Alibaba not doing much to get my full refund.","hainan-xinyi-industry-truck-canopy-rv-accessories","False","Casual Girl A.","2 months ago","","Product name is generic — no product named in review; inferred from seller's Alibaba store (rvmonster.en.alibaba.com), which lists truck canopies, RV accessories, and 4WD gear. Quantity defaulted to 1 (not stated in review). Total price set to MISSING/0 — the AUD $49.79 figure is the disputed shortfall withheld from a refund, not the original order total; the full order value is unknown. Seller URL verified: Alibaba store title reads ""Hainan Xinyi Industry Co., Ltd."" matching the review name exactly."
"Shandong Qilu Industrial Co., Ltd.","https://sdqilu.en.alibaba.com/","best-effort","Alibaba.com","construction machinery","","1","0","MISSING","AUD","Industrial Machinery","I made a purchase through alibaba from a company called Shandong Qilu industrial pty ltd.I thought it would be a safe purchase as it was made from alibaba platform.The company sent me faulty products and have not assisted in rectifying the issues and alibaba has fone nothing to assist in this matter.Very dissapointing.Think twice before using.","shandong-qilu-industrial-construction-machinery","False","shane zimmerle","2 months ago","","Product name is generic (""construction machinery"") — seller makes excavators, loaders, and tractors but the review states no specific product. Quantity defaulted to 1 (not stated). Price not stated (MISSING); currency defaulted to AUD. Seller URL is best-effort: review spells entity as ""pty ltd"" (Australian suffix) but the Alibaba store is registered as ""Co., Ltd."" — store name and business profile match closely enough to be the same entity."
"MLY Garment","https://gzmly.en.alibaba.com/","best-effort","Alibaba.com","custom garments","","1","0","MISSING","AUD","Apparel & Accessories","MLY Garment on Alibaba is nothing short of scamming thieves. They will drag out disputes until it's too late to request a refund. Their products are faulty and they shipped one of my orders to the wrong person and did not refund me. They also refuse to mark their orders as shipped so Buyers are unable to leave Negative reviews on orders that have been received.
Alibaba has also not been able to get my money back as yet and they also can't force the seller to make their orders as shipped, so they allow these scammers to use their platform!","mly-garment-custom-garments","False","Mel","2 months ago","","seller_url is best-effort — search returned multiple MLY Garment storefronts on Alibaba (gzmly.en.alibaba.com, mlysport.en.alibaba.com, mlycn.en.alibaba.com); gzmly was used as the primary/most prominent but the reviewer did not specify which store. product_name is generic — no product was mentioned in the review; ""custom garments"" inferred from seller's business category. quantity defaulted to 1 — none stated in review. total_price is MISSING — no amount mentioned. currency defaulted to AUD per site default; no currency hint in review."
"ali baba Queanbeyan","","not-found","Alibaba.com","Family Snack Pack","","1","0","MISSING","AUD","Food & Beverage","This place is an absolute disgrace ali baba Queanbeyan. I ordered the family snack pack and what I got was a mountain of chips with barely any meat hiding in it. Calling it “family” is a joke – it’s nothing but a scam. If there were negative stars, they’d deserve it. They’re not serving food, they’re robbing people in plain sight. Save your money and avoid this place at all costs – total rip-off!","ali-baba-queanbeyan-family-snack-pack","False","RUSSELL","10 months ago","","CRITICAL FLAG — ""ali baba Queanbeyan"" is a local fast-food / kebab restaurant in Queanbeyan, NSW, Australia (confirmed via Uber Eats and Facebook listings). It is NOT an Alibaba.com marketplace seller. No Alibaba.com store URL exists (seller_url_status: not-found). The review almost certainly originates from Google Maps or a food-delivery platform, not from Alibaba.com. Admin should assess whether this submission is in scope for the database before publishing. Price not stated (MISSING, total_price set to 0). Quantity inferred as 1 from singular phrasing (""I ordered the family snack pack""). Currency defaulted to AUD (Queanbeyan is in New South Wales, Australia)."
"Nanchang Keda Stationery Gifts Industrial","https://jxkeda.en.alibaba.com/","verified","Alibaba.com","custom pen kits","https://jxkeda.en.alibaba.com/product/1036693971-212687963/Taiwan_Pen_Kits_Manufacturers_Customized_all_size_Wood_Turning_Pen_kits_Various_of_Cheap_Metal_Accessories_pen_turning_parts.html","1","0","MISSING","AUD","Gifts & Crafts","May of 2024 I started working on a pen kit design via Alibaba with Nanchang Keda Stationery Gifts Industrial. It usually takes 3 to 4 months to get an order from start to finish. I sent samples in June and paid a deposit on Sept 2024 and received samples just before Christmas, Dec 2024. The kits were so terrible I couldn't actually assemble the pen kit. The art on the bands was terrible and looked like one big smudge with no detail. I obviously rejected them. Alibaba played the Assurance game and communicated with the supplier. We went back and forth and once again Alibaba Trade Assurance Program has no teeth. They refused to force the company to refund my deposit even after extensive documentation an photos on the 8 major problems. The Black Titanium finish(if that is what it really was) had lines around it as if were being threaded. It was rough and not polished and yet had a gummy coating that never seemed to come off. Just a coule pictures of the pathetic attempt. Nanchang agreed to remake the kits, I finally received the much improved, far from perfect kit, in May of 2025. They looked very nice and 78% went together without problem. 22% failure is still much too high for samples that have been groomed prior to shipping. The transmission will not go into the end cap hole. The brass on all kits was also not the size of my original samples which will cause problems for customers who have already purchased my brass in bulk. Nanchang claimed that the last two fixed were easy and want another deposit to continue. Over a year and still nothing to sell, Alibaba is useless, as is Nanchange Keda...be wary, be very wary. I now purchase my kits outside of Alibaba and have had great results. Alibaba seems to be a magnet for unscrupulous vendors looking to get something for nothing.","nanchang-keda-stationery-gifts-industrial-custom-pen-kits","True","WWP","12 months ago","","Quantity not stated — defaulted to 1 (custom sample order; flag for human review). Price not stated — MISSING. Currency not stated — defaulted to AUD per site convention. Product URL is best-effort: pen kits listing from the same verified seller store. Seller store URL confirmed via Alibaba search (jxkeda.en.alibaba.com). Reviewer explicitly mentions photos submitted to Alibaba Trade Assurance, so has_images=true."
"Cangnan Kangtai Paper Products Co., Ltd.","","not-found","Alibaba.com","paper products","","1","990","STATED","USD","Packaging & Printing","A Cautionary Tale: Alibaba’s Failure to Protect Buyers Despite providing clear, documented evidence that the supplier Cangnan Kangtai Paper Products Co., Ltd. failed to manufacture or ship any product after receiving USD $990, Alibaba.com has refused to issue a refund under their so-called Trade Assurance program. Let me be clear: No goods. No tracking. No communication from the seller. No resolution.","cangnan-kangtai-paper-products-co-ltd-paper-products","True","Deon S.","1 year ago","","seller_url: not found via web search — store may have been removed from Alibaba (common for scam sellers); product_name: no specific product stated in review, ""paper products"" is a generic inferred from the seller's company name and Cangnan region (famous for packaging/printing); quantity: not stated, defaulted to 1; industry: inferred from seller name and Cangnan region as Packaging & Printing."
"TY-Carbon Made Store","https://www.aliexpress.com/store/1103035272","best-effort","Alibaba.com","carbon fiber car part","","1","0","MISSING","AUD","Vehicle Parts & Accessories","DO NOT BUY from Alibaba or AliExpress if you expect after sales service. I recently purchased a car part through Alibaba sister company AliExpress (PO 8197387475556774) from TY-Carbon Made Store and it turned out to be very badly made. Junk product! No problem I'm thinking as they have a ""Free Returns"" policy if you are not satisfied. They approved my return and credit provided I send it (at my expense which I was told would be refunded) to their Sydney PO Box. I paid FedEx $79 who later informed me the AliExpress Post Office address would to accept the item due to too large. Have since found out Australia Post do not accept items over 105cm. Mine is 150cm. I requested an alternative delivery address several times but they never responded. They have now refused to refund my purchase or additional courier charge several time with emails like ""We are sorry to inform that your appeal request was closed. We have revisited this request and found that this return parcel hasn't been delivered."" and ""We are sorry but your appeal has not been accepted since the parcel you returned has not been delivered to AliExpress warehouse"". Well apparently it's my fault their delivery address wouldn't accept the parcel! Clearly they have not intension of honouring my credit and have a system that strings you along until you give up. DO NOT buy from these companies. They will rip you off at any opportunity!!","ty-carbon-made-store-carbon-fiber-car-part","True","rbm3","1 year ago","","1. Product price not stated — only the $79 AUD FedEx return-shipping cost is mentioned; total_price set to 0 / MISSING. 2. Product described only as ""car part""; ""carbon fiber car part"" inferred from store name (TY-Carbon Made). 3. Seller found on AliExpress (store ID 1103035272) — name matches exactly, but store is on AliExpress not Alibaba.com; marked best-effort. 4. Quantity of 1 inferred (not explicitly stated). 5. No product listing URL found."
"Hangzhou Green Forest Toys & Gifts Co., Ltd.","https://greenforesttoys.en.alibaba.com/","verified","Alibaba.com","wooden toys and furniture","","200","5000","STATED","AUD","Mother, Kids & Toys","Green Forest Toys & Gifts Co. Ltd I purchased 200 units of a product from this supplier for $5,000, intending to sell them through Amazon FBA in the United States. Unfortunately, this turned out to be a costly mistake. The supplier misrepresented key product specifications, failed to meet Amazon's compliance requirements, and demonstrated a consistent pattern of deceptive behavior. As a result, Amazon US rejected the entire shipment due to non-compliance and ultimately disposed of the goods. The entire order became unsellable and worthless.","hangzhou-green-forest-toys-gifts-co-ltd-wooden-toys-and-furniture","False","Rainbow Rabbit Ltd","1 year ago","","Seller URL: two Alibaba stores found — greenforesttoys.en.alibaba.com (used, appears to be the main listing) and greenforesttoy.en.alibaba.com (alternate). Both match ""Hangzhou Green Forest Toys & Gifts Co., Ltd."" which sells wooden toys and wooden kids furniture — consistent with the review; marked ""verified"". No specific product listing URL found; product_url left blank. Product name is generic (""wooden toys and furniture"") as the review does not name a specific SKU. Currency set to AUD per the provided hint. Price and quantity are both explicitly stated in the review."
