"seller_name","seller_url","seller_url_status","platform","product_name","product_url","quantity","total_price","price_status","currency","industry","details","slug","has_images","reviewer","date","review_url","notes"
"Oloey Innovation Technology Model Store","https://www.aliexpress.com/store/4427012","best-effort","Alibaba.com","Olympus camera replacement part","","1","0","MISSING","AUD","Consumer Electronics","Oloey Innovation Technology Model Store – Ordered a part For My OLYMPUS Camera. Was 6 times more expensive than the Olympus in Australia. When tried to return they made my life difficult. The policy says 14 Day return is accepted . Once sold they don't want to know you, Price is also not competitive.","oloey-innovation-technology-model-store-olympus-camera-replacement-part","False","Rasa","3 years ago","","Seller URL is best-effort: web search found an AliExpress store named ""Oloey Innovative Tech Model Store"" (aliexpress.com/store/4427012) — no confirmed Alibaba.com storefront found; scam stores are frequently removed. Product name is generic — reviewer says ""a part for my Olympus camera"" without specifying which part. Quantity 1 stated implicitly (""a part""). No price stated; reviewer only says it was 6x the Australian Olympus retail price — total_price set to 0, price_status MISSING. Currency defaulted to AUD based on the Australia price reference."
"Hebei Jupai Import and Export Trade Co., Ltd.","https://hbjupai.en.alibaba.com/","verified","Alibaba.com","diesel forklifts","","4","0","MISSING","AUD","Material Handling","Company to avoid on Alibaba – Hebei Jupai Import and Export Trade Co.,Ltd. Took my money for 4 x forklifts, never delivered, stopped communicating, thieves. Do not do business with this company","hebei-jupai-import-and-export-trade-co-ltd-diesel-forklifts","False","Mike Price Stage NZ Ltd","4 years ago","","Price not stated — total_price set to 0, price_status MISSING. Currency defaulted to AUD per site rules, but reviewer is NZ-based (Stage NZ Ltd), making NZD or USD more plausible for a B2B machinery transaction; human reviewer should confirm. Product name ""diesel forklifts"" inferred from the seller's primary Alibaba product category (Diesel forklift, Electrical forklift) since the review only says ""forklifts"" — flag if a more specific product type is known. No specific product listing URL found; product_url left blank. Seller URL verified: hbjupai.en.alibaba.com matches the company name and sells forklifts as its headline product."
"Sydney Tools","","not-found","Alibaba.com","DeWalt power tools","","1","5500","STATED","AUD","Tools & Hardware","Worst online company globally – Purchased $5500 AUD worth of dewalt tools from Sydney Tools, they did not send anything and are a fake company, with a fake freight supplier and Alibaba will not help us to get our money bank. Beware of using this website, it is the worst experience I have had online.","sydney-tools-dewalt-power-tools","False","Kirst","4 years ago","","Seller URL: not found via web search — consistent with reviewer's claim that this is a fake company; store likely taken down. Quantity: not stated in review; defaulted to 1 per instructions. Product name: ""DeWalt power tools"" — generic label derived from review text (""dewalt tools""); no specific model mentioned. Price AUD 5,500 is explicitly stated."
"Guangdong Plant Kitchen Cabinetry","https://planetcabinetry.en.alibaba.com/","best-effort","Alibaba.com","bathroom vanity","","1","2550","STATED","USD","Furniture","There are so many scammers, Alibaba is an unsafe platform and no support either – Guangdong Plant Kitchen Cabinetry was advertising the vanity for USD$120 to $160. I was trying to order the vanity exactly same as their advertising. They asked my email address and WhatsApp phone number. They sent me the quote for USD$1600 plus $950 for the shipping cost. The price was more than 10 time high. They were trying to deal with me privately. They sent me messages through emails and Wechat, They were asking 50% of the deposit privately. I tried to make a complain to Alibaba, but it is impossible to make any compliant or get any support from Alibaba.","guangdong-plant-kitchen-cabinetry-bathroom-vanity","False","Sonia J.","5 years ago","","1. Seller URL best-effort: the review names ""Guangdong Plant Kitchen Cabinetry"" but the closest Alibaba match is ""Guangdong Planet Kitchen Cabinetry Co., Ltd."" (planetcabinetry.en.alibaba.com) — ""Plant"" vs ""Planet"" is almost certainly a reviewer typo; treat as probable but unconfirmed. 2. total_price is the sum of the scammer's quoted product price ($1,600) plus stated shipping ($950) = $2,550; both figures are explicitly stated in the review. 3. No specific product listing URL found. 4. The detail sentence about Alibaba providing no support is derived from the reviewer's direct statement ""no support either"" — not invented."
"Guangzhou Yilong Cosmetics Co., Ltd; Guangzhou Haishi Biological Technology Co., Ltd","https://gzyilong.en.alibaba.com/","best-effort","Alibaba.com","cosmetics","","1","0","MISSING","AUD","Beauty & Personal Care","BUYERS'BEWARE: Unreliable and unsafe platform – The ALIBABA platform has put me at risk as a buyer for several occasions from its unreliable sellers/ suppliers based in China. There is no use of using this so-called gold suppliers, verified suppliers, etc. Free and paid training were talking about this stuff but it appears that it is not going to protect consumers. The platform is also unsecured. The message that I sent to supplier was sent to another supplier. 
Their dispute process is useless, and I need to contact my credit card provider to recover payments made to the suppliers/ sellers based in China operating at ALIBABA platform. 
Another negative experience, I was chatting to a sale representative which appears to have good English but after I made a payment, I feel like I was speaking to another person with poor English. The supplier/ seller appears to use different names on ALIBABA platform as well under Guangzhou Yilong Cosmetics Co., Ltd and Guangzhou Haishi Biological Technology Co., Ltd., based on my research and who knows what other names they use on this platform to scam people. Be careful everyone. 
If you want to use the ALIBABA platform, expect be in a wild wild west environment where there is no rules to really protect you. 
Make sure you protect yourself in case this happen to you and can lodge a claim here in Australia for product which is not fit for purpose or failed to received the product or a similar situation.","guangzhou-yilong-cosmetics-co-ltd-cosmetics","False","begood","5 years ago","","Two sellers named in the review (Yilong and Haishi); seller_url points to Yilong's primary Alibaba store (best-effort — multiple storefronts exist for both companies and the review does not specify which). Product is generic (""cosmetics"") — no specific product named in review. Quantity defaulted to 1 — none stated. Price is MISSING — no amount mentioned. Currency defaulted to AUD (site default). Review is a platform-level complaint rather than a specific transaction account; no invented facts added."
"Shenzhen Yuntian Electronic","https://chinaunion-tech.en.alibaba.com/","best-effort","Alibaba.com","electronic goods","","1","300","STATED","USD","Consumer Electronics","scammer be warned Alibaba is not a safe place for business – Alibaba was the worst experience we had in many years in business. We purchased some stock to the value of USD 300 pounds from a company called Shenzhen Yuntian Electronic . They took my money and did not send the item and when I complained to alibaba they ignored me. Not worried because it was not a huge amount but just need to warn people.","shenzhen-yuntian-electronic-electronic-goods","False","iraj","5 years ago","","1. seller_url: Two ""Yuntian"" stores found on Alibaba — ""Shenzhen Yuntian Electronic Technology Co., Ltd."" at chinaunion-tech.en.alibaba.com is the closest name match, but the store alias does not obviously correspond to the company name; marked best-effort. Store may be taken down (scam accounts are frequently removed). 2. product_name: No product stated in review; ""electronic goods"" is a generic placeholder inferred from the seller's company name (Shenzhen electronics supplier). 3. quantity: No quantity stated; defaulted to 1. 4. price: Review says ""USD 300 pounds"" — likely a copy-paste error; treated as USD 300 (consistent with the currency hint). 5. industry: Consumer Electronics inferred from company name; unverified."
"Shenzhen Yingtean Technology Co., Ltd","","not-found","Alibaba.com","Flavored Vape Pens","","1","5000","STATED","USD","Consumer Electronics","Unhelpful when it comes to buyer/seller disputes – Purchased products from a company called Shenzhen Yingtean Technology Co., Ltd. This was my second order from then, First order they sent me faulty Vape pens and gave us a hard time when it came to replacing them. The second order we made arrived 20 days later and all the flavours were wrong and upon scanning the QR code I found then to be unauthenticated, meaning they were counterfeit! The supplier [Name Removed] then kept stalling and gave me all sorts of excuses when it came to giving me the order that I requested! I had no choice but to lodge a dispute with Ali Baba but because the items I was purchasing potentially contained nicotine they refused to help me. 
Never ever will I order from this company and I suggest everyone else go through another supplier! 
I am now out of pocket 5 grand with fake products that I never ordered!","shenzhen-yingtean-technology-co-ltd-flavored-vape-pens","True","Natasha","5 years ago","","Seller store not found on Alibaba.com after search — likely taken down (expected for scam sellers). Quantity not stated in review; defaulted to 1 (flag: inferred). USD 5,000 total price is stated. Industry set to Consumer Electronics as vape/e-cigarette products are categorized there on Alibaba. has_images set to true per pipeline default."
"Shenzhen U Decoration Materials Co.,Ltd","https://udecor.en.alibaba.com/","best-effort","Alibaba.com","decoration materials","","1","1200","STATED","USD","Home & Garden","Trade Assurance is all ""Fake News"". They protect their sellers in their own Countries. Will never win – Our first transaction with Alibaba was the worst experience we had in the last 20 years in business. We purchased some stock to the value of USD 1200 to try out a factory. About 60% of the stock arrived to us damaged and 10% of the stock was wrong – in other words 70% of the stock we cannot sell and it is going in the rubbish bin. We then opened 2 claims for the damaged stock, one with the factory (Shenzhen U Decoration Materials Co.,Ltd) Ref. 90675082001020686 and one with the shipping company. After multiple emails back and forth, Alibaba said the factory and the shipping company were not responsible for the damage as “the damage was not big and it is difficult to say who caused the damaged”. Nice one!
Regarding the incorrect stock that we didn’t order but we paid for, the factory actually admitted liability for the mistake in writing but Alibaba said the stock was close enough to what we wanted so the best they could do was 50% refund. Unbelievable!
Throughout this whole experience, it was very obvious to us that Alibaba was on their Country seller’s side at all times. And Alibaba simply refused to answer our clear and simple questions about their refund rules and other basic questions that we had. They have a very vague script and they stick to it repeating the same story in every email. Alibaba’s service is sub-standard and their impartiality is non-existent.
If you think Trade Assurance protected, think again. And buying product from Shenzhen U Decoration Materials, it should NEVER be on your list. 
We personally will stay away from Alibaba in future.","shenzhen-u-decoration-materials-co-ltd-decoration-materials","False","Ehl X.","5 years ago","","1) Seller URL is best-effort: search returned ""Shenzhen U Decoration Material Co., Ltd."" (singular ""Material"", not ""Materials"") at udecor.en.alibaba.com; name is very close but not an exact match — confirm before publishing. A second store (udecorate.en.alibaba.com) carries the same registered name; udecor chosen as primary because its listed products (vinyl wallpaper, window film, wall panels) best match a decoration-materials supplier. 2) Product name is generic (""decoration materials"") — the review only says ""some stock"" with no specific product named; inferred from seller category. 3) Quantity set to 1 (default) — the review mentions ""some stock"" as a bulk trial but gives no unit count. 4) Trade Assurance dispute outcome (""will never win"") is characterised as an inability to prevail, consistent with the review wording; no invented outcome detail added."
"SHENZHEN SIBAITE ELECTRONICS CO","https://specialtech.en.alibaba.com/","best-effort","Alibaba.com","power adapters and chargers","","1","0","MISSING","AUD","Consumer Electronics","Alert Alert ….Damaged goods!!!!!! – Be aware mates, they will take the money and send you the damaged goods. When you report it to them they will keep insisting it’s not faulty. Find a good supplier and stay away from SHENZHEN SIBAITE ELECTRONICS CO. Bloody thieves.","shenzhen-sibaite-electronics-co-power-adapters-and-chargers","False","Luna M.","5 years ago","","Product name is generic — no product named in review; inferred from seller's known product range (laptop chargers, power adapters, batteries). Quantity defaulted to 1 (not stated). Price missing (not stated). Currency defaulted to AUD (no hint in review). Seller URL is best-effort — two storefronts found (specialtech.en.alibaba.com and specialhk.en.alibaba.com); specialtech used as primary. No product listing URL found."
"Changzhou Youth Tools Mechanical Co. Ltd","","not-found","Alibaba.com","sanding belts","","3","0","MISSING","AUD","Tools & Hardware","Be very careful when using ALibaba – Had three of the last ten commercial orders go pear shaped. Each time I did everything to make a compromise with Alibaba seller but failed so had to escalate to Alibaba themselves. Alibaba found for the companies in each case. First order was a silicone sample that was sent with lids loose and it leaked and got contaminated. The second was some sanding belts that were made too short and the latest was an order that went missing. This last seller agreed to refund me by a given date so I waited and then they reneged. It appears there are Alibaba only companies representing individuals posing as much more than they are. When you do finally choose an Alibaba company use google to see if the company exists outside of ALibaba. If they don't then they are an Alibaba only company completely backed by Alibaba. I will no longer use Alibaba only companies and certainly will not pay via Alibaba (which suits the non-Alibaba (genuine) companies). My advice if you do buy through them. Pay with a creditcard and get strictly 28 day terms. If it goes over the time cancel the payment and get your money back or make another payment. Just don't wait for too long before cancelling. Alibaba think they are smart but all it does is lower confidence in fostering malpractices. Changzhou Youth Tools Mechanical Co. Ltd is the tin pot company who reneged. Good luck.","changzhou-youth-tools-mechanical-co-ltd-sanding-belts","False","JS J.","5 years ago","","Seller URL not found — three web searches returned no matching Alibaba store; store may have been removed. Quantity set to 3, representing 3 failed orders rather than 3 units of a single product. Total price missing — no amount mentioned in the review. Currency defaulted to AUD (no currency hint provided). Product name ""sanding belts"" taken from the stated product field; review also mentions a ""silicone sample"" but sanding belts is the more concrete product. Date is approximate based on ""5 years ago"" review timestamp."
"Shenzhen DreamQ Technology Development Co., Ltd.","https://dreamq.en.alibaba.com/","verified","Alibaba.com","15.6-inch i7 gaming laptop DDR4 16GB RAM","","1","0","MISSING","AUD","Consumer Electronics","Danger! Danger!! Shenzhen Dreamq Technologydevelopment Danger!!! – Danger! Danger!! Shenzhen Dreamq Technologydevelopment Danger!!! Hi everyone, Please avoid Shenzhen DreamQ TechnoloyDevelopment. There products are all fake and their customer service are filled with dishonest people and con men . Their warranty means nothing I bought a notebook 15.6 inch i7 gaming laptop computer DDR4 16 G RAM colour grey I made the order on 16th of July and it arrived after 3 weeks. it looked nice and flashy but it was a total and complete DISASTER. The problem started just 2 days after I received it.
it has multiple faults all of which are software related. It shows BLUE SCREEN OF DEATH. HANGS CONSTANTLY.
I contacted the supplier and he advised me to change the SSD and insert again. I did but nothing worked
i did everything and finally sent it back to the supplier in China for replacement. The guy was extremely dishonest and dubious. it took more than 4 months (December to April) before they laptop was returned. He did absolutely nothing. The laptop was returned in the condition even though they claim to have 1 year warranty. I wasted my money returning the faulty laptop.
I contacted the supplier again to refund my money or replace it since I have warranty buy he refused
I have spent more than a thousand dollars on the laptop but it has never been useful to me for even a day. The supplier is an arrogant and a dubious con man
So please be careful of these people and their fake products. Avoid SHENZHEN DREAMQ TECHNOLOGYDEVELOPMENT PRODUCT if you dont want to be robbed.
Danger! Danger!! SHENZHEN DREAMQ TECHNOLOGYDEVELOPMENT DANGER!!!","shenzhen-dreamq-technologydevelopment-15-6-inch-i7-gaming-laptop-ddr4-16gb-ram","False","Steve","5 years ago","","Seller URL verified: Alibaba store ""Shenzhen DreamQ Technology Development Co., Ltd."" at dreamq.en.alibaba.com matches the review name exactly. No specific product listing found for this laptop model; product_url left blank. Price not stated in review and no reliable basis for estimation; total_price set to 0 with price_status MISSING. Quantity not stated; defaulted to 1 (typical single-unit consumer purchase). Currency defaulted to AUD (no currency mentioned in review). Date is approximate (""5 years ago""), not an exact calendar date."
"Quanzhou Pushi Jewellery","https://psjewelry.en.alibaba.com/","verified","Alibaba.com","18k gold platinum Moissanite jewelry","","1","10000","STATED","AUD","Jewelry, Eyewear & Watches","The Trade Assurance is a scam and the Dispute Resolution Process is biased – Have had a dispute going for months over counterfeit 18kt gold, counterfeit platinum, fake Moissanite, fraudulent copies of GRA certificates. It’s cost me nearly $10,000 in products, testing equipment, independent valuations, import tax. The jewellery delivered was nothing more than cheap costume jewellery. Despite the overwhelming evidence I provided, the days and nights I sat and photographed every test on every piece, comparing them to what he sells (he tried to deny they were his and I’d swapped them for other fakes I’d bought). The metal was made of god knows what, the Moissanite was nothing more than we’ll cut glass and none of it could be sold especially as he’d gone to the trouble of having the metal stamped AU750 or PL950. The counterfeit GRA certificates, the spelling mistakes and grammatical errors would’ve been funny had I not been in a dog fight to get my money back. I even had messages where Pu Liang the thief, the conman, the fraudster from Quanzhou Pushi Jewellery AKA Platts Jewellery has admitted it was fake and he was apologetic. Then he turned into a vicious savage pig when he realised that if I didn’t get my money back I was going to make his life miserable. Regardless of all my evidence and the best gemological and independent metal analysis - the Dispute Team told me to negotiate with him and they would be of no further assistance. Then the executives of Alibaba got in touch when I posted a huge complaint. Initially in their emails they seemed as if they were interested in helping, in fixing my problem. After a few brief emails stating they needed more time, I continued to contact them asking where they were at with getting my money back....they stopped emailing at all. Thanks for that [name removed] and [name removed] (you’re both as useless as [name removed] and just as dishonest). Anyway I finally got my money back from my bank. ANZ and VISA I can’t thank you enough for working through this mess and getting justice for me. The idiot who sent me this rubbish wont even accept his crap back so it’s sitting in Brisbane waiting to leave for China. Because he won’t sign the consignment I’m about to tell DHL to destroy the lot. There are a few good companies that advertise through Alibaba and there are a lot of bad ones....don’t rely on the Dispute Resolution Team to help you, they won’t, don’t rely on the Trade Assurance Agreement, it’s worthless. If you buy from them only use a creditable credit card that will go to town on thieves like [name removed] and the bad eggs at Alibaba who get bribed by the businesses to deny your refund. YES YOU READ CORRECT!!! The Dispute Resolution Team are bribed by the companies in matters where the consumer wants a refund. They don’t bother to look at the evidence, they don’t care that the owner of the company calls you offensive names in Mandarin, they won’t ask the supplier to show any evidence that what they sell is of good quality, made of gold, platinum, Moissanite or even that what you ordered and payed good money for resembles what is delivered. I was offered $300US and keep the goods - I payed over $7000US for crap worth nothing even $200 and an import duty tax bill of $865. The thief even wrote on the invoice that this crap was worth thousands. I sent emails to the Australian Federal Police, Cyber Crime Unit, Australian Customs, Chinese Embassy and even the White House as Trump had warned Alibaba to stop counterfeit goods or he would stop US trade through Alibaba. They placed an anti-counterfeit group in Alibaba to appease him, but clearly they’re too busy taking bribes as well. Be very cautious spending money with alibaba because they will not refund your money....EVER!!! Your bank has to do the hard yards to get your refund.","quanzhou-pushi-jewellery-18k-gold-platinum-moissanite-jewelry","False","Aly","6 years ago","","Seller URL matched via web search returning ""Company Overview - Quanzhou Pushi Jewelry Trading Co., Ltd."" at psjewelry.en.alibaba.com — marked verified. No specific product listing URL found; product_url left blank. Quantity not stated; defaulted to 1. Total price is approximate (""nearly $10,000"") per reviewer's own words and includes not just product cost but also testing equipment, independent valuations, and import tax — flag for human reviewer whether to record as product cost only or total loss. Currency AUD from prompt hint, not explicitly stated in review text."
"Xiamen King Q Waterproof Sport Co., Ltd","https://waterproof-sport.en.alibaba.com/","verified","Alibaba.com","drysuit","https://waterproof-sport.en.alibaba.com/productgrouplist-807869346/Dry_Suit.html","1","252","STATED","USD","Sportswear & Outdoor Apparel","DANGEROUS DRYSUIT, RISK OF DROWNING. DO NOT BUY I bought a dangerous and defective drysuit supplied on behalf of Alibaba.com by Xiamen King Q Waterproof Sport Co., Ltd under Trade Assurance Order 184474975001023119 (September 2023). Transaction 184474975001023119, Cost USD 252.00. The drysuit was used only seven times in 2024–2025 for boarding my boat from the jetty and was never submerged in water. Three weeks ago, I used it in waist deep water for approximately five minutes while loading my boat onto its trailer. I was horrified as the suit immediately started to fill with water as it had failed at all seams, allowing water to enter both legs and rise to my waist. I poured approximately half a pint of water out of each leg.
This is latent defect as it existed at the time of manufacture, it only became apparent later and was not caused by misuse or wear. My usage pattern supports this.
The product is dangerous as a leaking drysuit can cause can be disastrous through, cold shock and loss of buoyancy leading to risk of drowning,
A drysuit that leaks at every seam after <10 uses is a clear breach of Trade Assurance standards.
This is a serious safety hazard and demonstrates that the suit is unfit for purpose and defectively manufactured. There is no visible wear, damage, or deterioration to the taped seams. This is clearly a manufacturing fault.
Alibaba & Xiamen King Q Waterproof Sport Co., Ltd have ignored my on-line messages and only responded with sarcasm instead of assistance. They have not replied to my last two emails. This behaviour is unacceptable and violates Alibaba’s seller obligations.
DO NOT BUY A DRYSUIT FROM THEM YOU COULD DROWN","xiamen-king-q-waterproof-sport-drysuit","True","Lyn Fawcett","4 weeks ago","","Quantity not stated in review — defaulted to 1. Product URL is a category listing page (Dry Suit group), not a specific product listing. Seller Alibaba store confirmed via direct search result matching company name exactly."
"Hainan Xinyi Industry Co., Ltd.","https://rvmonster.en.alibaba.com/","verified","Alibaba.com","vehicle accessories","","1","49.79","STATED","AUD","Vehicle Parts & Accessories","Hainan Xinyi Industry.not wanting to give full refund missing $49.79 claim it was a bank charge back or bank fee. my bank said it wasn't my bank that charged the fee. so I got my credit card involved to get my full refund. The supplier wasn't honest with the time it would take to get the product to me and she declined my first initial attempt to get the refund. which is now causing a delay on the refund, they are insisting I cancel the bank and let them give the refund, if I agree I will miss out on $49.79. Alibaba not doing much to get my full refund.","hainan-xinyi-industry-vehicle-accessories","False","Casual Girl A.","2 months ago","","1. PRICE: AUD $49.79 is the stated missing refund amount, not the full order total — the actual amount paid is unknown and likely higher. 2. PRODUCT: No product was named in the review; ""vehicle accessories"" is a generic inferred from the seller's known product line (truck canopies, 4WD accessories, rooftop tents). 3. QUANTITY: Not stated; defaulted to 1. 4. SELLER URL: Verified — Alibaba store rvmonster.en.alibaba.com explicitly lists ""Hainan Xinyi Industry Co., Ltd."" as the company name."
